cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence
SAM,model,segmentation accuracy,outcome,improves,28,28,high,significant improvement in segmentation accuracy with only approximately 5 input points
SAM,model,state-of-the-art performance,outcome,improves,25,25,high,"achieve state-of-the-art performance in the task we tested: camouflaged object detection, shadow detection"
SAM,model,segmentation performance,outcome,improves,22,22,high,the zero-shot SAM model achieves remarkable segmentation performance for large connected objects
SAM,model,SAM,model,integrates_with,22,22,high,"built upon the large-scale image segmentation model, Segment Anything Model (SAM)"
SAM,model,image segmentation,outcome,improves,20,20,high,SA3D adapts to various scenes and achieves 3D segmentation within seconds.
sam,model,image segmentation,outcome,improves,17,17,high,SAM-generated masks to enhance semantic segmentation quality.
SAM,model,superior performance,outcome,improves,16,16,high,validate the superiority and effectiveness of our RefSAM model over existing methods
synthetic data,data,real-world application,adaptation,transfers_to,13,13,high,"bridge the so-called reality gap, so that networks trained on synthetic data operate correctly when exposed to real-worl"
sam,model,SAM,model,adapts,13,13,high,"introduce SAM3D, an innovative adaptation tailored for 3D volumetric medical image analysis."
synthetic data,data,labeled data,data,transfers_to,12,11,high,address this challenge...lack of labeled data
synthetic data,data,domain gap,problem,generates,11,11,high,bridging the domain gap in synthetic pose estimator training
SAM,model,medical image segmentation,outcome,improves,10,8,high,adaptive prompts significantly improve SAM's non-fine-tuned performance in MIS
SAM,model,zero-shot segmentation,outcome,enables,9,9,high,understand whether SAM could be used for a few tasks of zero-shot segmentation using MRI data
synthetic data,data,sim-to-real,adaptation,improves,9,9,high,tune simulation parameters to improve sim2real predictivity
SAM,model,accuracy,outcome,improves,8,8,high,"SAM was tested on 12 public medical image segmentation datasets involving 7,451 subjects."
sam,model,foundation model,model,integrates_with,8,8,high,"the model is designed and trained to be promptable, so it can transfer zero-shot to new image distributions"
synthetic data,data,real images,data,transfers_to,8,8,high,models trained on these kind of data usually under-perform on real images
synthetic data,data,real-world data,data,reduces,7,7,high,avoid the need for real-world ground truth data
SAM,model,pseudo-labels,data,generates,7,7,high,"SAM can accurately segment images across diverse fields, and generating various masks."
SAM,model,performance,outcome,improves,7,7,high,we conduct a series of intriguing investigations into the performance of SAM across various applications
LoRA,model,SAM,model,adapts,7,7,high,applies the low-rank-based (LoRA) finetuning strategy to the SAM image encoder
domain randomization,adaptation,sim-to-real,adaptation,enables,7,7,high,"we do not use a real human arm to supply demonstrations during training, but instead leverage domain randomisation"
sam,model,segmentation accuracy,outcome,improves,7,7,high,fine-tuning SAM significantly enhances its segmentation accuracy
SAM,model,segmentation masks,data,generates,7,6,high,predict segmentation masks of RGB images with SAM
SAM,model,local features,model,improves,6,6,high,introduce SAM as a teacher to guide local feature learning
SAM,model,downstream tasks,outcome,improves,6,6,high,demonstrate that our SAM2-UNet can simply beat existing specialized state-of-the-art methods.
SAM,model,3D medical segmentation,outcome,improves,6,6,high,enhances SAM's capabilities for 3D medical image segmentation
SAM,model,foundation model,model,enables,6,6,high,significant progress in breaking the boundaries of segmentation
domain randomization,adaptation,domain gap,problem,solves,6,6,high,"mitigate the sim-to-real gap, including domain randomization, action delays, and a reward penalty"
SAM,model,segmentation,outcome,improves,6,6,high,achieve precise segmentation in the RGB-D domain
LoRA,model,foundation model,model,adapts,5,5,high,"incorporates a fine-tuning technique using LoRA, allowing it to extract general image embeddings"
SAM,model,parameter-efficient fine-tuning,model,enables,5,5,high,it is currently unsatisfactory without further fine-tuning
hyperspectral imaging,data,quality grading,outcome,enables,5,5,high,HSI had the capability for predicting total pigments in red meats.
SAM,model,labeled data,data,generates,5,5,high,SAS...designed to enhance the performance of deep learning models for segmenting small anatomical structures
SAM,model,zero-shot generalization,adaptation,improves,5,5,high,its promptable nature endow the model with strong zero-shot generalization
sam,model,pseudo-labels,data,generates,5,5,high,SAM for enhancing semi-supervised medical image segmentation.
domain adaptation,adaptation,domain gap,problem,solves,5,5,high,mitigate the aforementioned domain gap
SAM,model,training-free solution,adaptation,enables,4,4,high,we propose a training-free prompt tracking framework for interactive video object segmentation.
SAM,model,annotation process,outcome,improves,4,4,high,accelerate the annotation process
synthetic data,data,performance,outcome,improves,4,4,high,RL-CycleGAN offers a substantial improvement over a number of prior methods for sim-to-real transfer
SAM,model,MedSAM,model,integrates_with,4,4,high,"we propose a new model, U-MedSAM, which integrates the MedSAM model"
synthetic data,data,synthetic data,data,generates,4,4,high,generate real-like synthetic images while maintaining accurate contact positioning
fine-tuning,data,segmentation performance,outcome,improves,4,3,high,fine-tuning with bounding boxes has a positive impact.
SAM,model,robust segmentation,outcome,improves,4,4,high,demonstrating its effectiveness and robustness across various sensors and data modalities
synthetic data,data,real-world images,data,transfers_to,4,4,high,augmenting synthetic image data through unsupervised image-to-image translation
SAM,model,generalization capabilities,model,improves,4,4,high,strong adaptability across diverse natural scenarios
